Date/Time,THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 2 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 3 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 4 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 5 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 6 THERMAL ZONE:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 1 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),THERMAL ZONE 2 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),THERMAL ZONE 3 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),THERMAL ZONE 4 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),THERMAL ZONE 5 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),THERMAL ZONE 6 THERMAL ZONE:AFN Zone Infiltration Air Change Rate [ach](Hourly),Whole Building:Facility Total HVAC Electric Demand Power [W](Hourly),CV ELEC RHT COIL:Heating Coil Electric Energy [J](Hourly),CV ELEC RHT COIL 1:Heating Coil Electric Energy [J](Hourly),CV ELEC RHT COIL 2:Heating Coil Electric Energy [J](Hourly),CV ELEC RHT COIL 3:Heating Coil Electric Energy [J](Hourly),CV ELEC RHT COIL 4:Heating Coil Electric Energy [J](Hourly),CV ELEC RHT COIL 5:Heating Coil Electric Energy [J](Hourly),COIL COOLING WATER 1:Cooling Coil Total Cooling Energy [J](Hourly),COIL COOLING WATER 2:Cooling Coil Total Cooling Energy [J](Hourly),COIL COOLING WATER 3:Cooling Coil Total Cooling Energy [J](Hourly),COIL COOLING WATER 4:Cooling Coil Total Cooling Energy [J](Hourly),COIL COOLING WATER 5:Cooling Coil Total Cooling Energy [J](Hourly),COIL COOLING WATER 6:Cooling Coil Total Cooling Energy [J](Hourly),FAN VARIABLE VOLUME 1:Fan Electric Energy [J](Hourly),FAN VARIABLE VOLUME 2:Fan Electric Energy [J](Hourly),FAN VARIABLE VOLUME 3:Fan Electric Energy [J](Hourly),FAN VARIABLE VOLUME 4:Fan Electric Energy [J](Hourly),FAN VARIABLE VOLUME 5:Fan Electric Energy [J](Hourly),FAN VARIABLE VOLUME 6:Fan Electric Energy [J](Hourly),CHILLER - WATER COOLED:Chiller Electric Energy [J](Hourly),PUMP VARIABLE SPEED 1:Pump Electric Energy [J](Hourly) 
 03/02  04:00:00,14.96396707635194,14.260006087918587,14.260011089604945,17.556044829857968,14.260001933589408,14.260001020496797,0.15214034522699297,0.14248237571252729,0.0,0.0,0.09203879793701722,0.14884458089795234,19098.37420853933,0.0,2758618.8195060149,3395188.832840863,0.0,5218093.202803341,3115560.281273185,26603935.652917599,0.0,0.0,2212896.0915606867,12380949.611140106,11847088.634428492,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,24310822.922904377,769491.5775140582 
 03/02  05:00:00,14.90534512783012,14.260004994540438,14.26000746634011,17.450075116780917,14.260002448510687,14.260002021179162,0.16912279548481205,0.13817571274489699,0.0,0.0,0.08947926150087077,0.24234332836418649,20128.96320669944,0.0,3171347.279971556,3750531.9384780928,0.0,5711515.520114578,5897719.152447229,25908247.376894066,0.0,0.0,2145403.4863080547,12380198.644858161,11846263.364817532,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,23969254.452903946,777527.6863028243 
 03/02  06:00:00,14.837605434939708,14.26000394079218,14.260001356928403,17.370787963947817,14.26000172581187,14.260001865949926,0.21209269853535168,0.1915798739544777,0.0,0.0,0.12383602400394796,0.4046345936899577,21656.754928760085,0.0,4012159.829374706,3997988.7396979888,0.0,6630728.823513191,9795835.84811216,25143933.209698187,0.0,0.0,2094694.711893032,12379060.027182877,11844819.285733793,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,23562428.009763946,778804.9791745546 
 03/02  07:00:00,14.781298509590135,14.260009320225319,14.260012591948279,17.310395169541466,14.260002988975036,14.26000293169481,0.21898326287712328,0.2299829928924765,0.0,0.0,0.14860141611056353,0.41057123506928169,22216.941638244745,0.0,4661572.856753986,4179678.498131049,0.0,7365373.16261793,10514525.900531915,24438803.350214017,0.0,0.0,2056420.3799611382,12379018.333722756,11844825.583685752,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,23288354.269473494,785113.6962729573 
 03/02  08:00:00,14.904589225644367,14.260016713807678,14.260038106554305,17.264942011628745,14.260006856187469,14.260004431674826,0.19766537290180015,0.23096557587749326,0.0,0.0,0.14954820012388066,0.3519229141418267,21007.492394118024,0.0,4091664.8221459465,4298680.434865278,0.0,6709473.556727013,6441578.486851237,25688673.42568263,0.0,0.0,2026904.828086565,12380167.315879558,11845640.488150392,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,24054827.809527875,844375.9948077882 
 03/02  09:00:00,17.95153309922281,17.769256526284094,16.353008834925704,17.342638669162495,17.556048165013665,17.979792693610297,0.1954269262562236,0.30701265720666789,0.0,0.0,0.19748701513057699,0.32056969398215176,87218.78571615268,69245707.56756349,42750934.28544143,5961534.261885291,147299.11466093624,51839014.1275558,50930795.17517309,61155043.79212376,1236161.3143616114,0.0,2210718.261991179,36940015.43972257,38838267.23760487,9833427.516610189,4561823.570410369,1586868.1485596377,750477.7605017049,6323558.622847754,6130215.8949700989,61783574.26327435,2142398.2686954878 
 03/02  10:00:00,18.180006605392199,18.179988680682304,17.836559367693533,17.598778774205344,18.18000827525328,18.46774466214659,0.20820399586803324,0.2699146934730921,0.0,0.0,0.17451847773573204,0.32824785771326139,52301.4700892541,14505084.506194303,29294174.852456109,5413149.360283358,147299.11466093624,37738136.07547569,2923180.113444132,67485000.80876869,6699620.416132069,0.0,2889982.3142717487,44221192.81645955,44416848.018926348,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,2479733.8013932409 
 03/02  11:00:00,18.180004352983326,18.18004259654295,18.180002673874353,18.001806691766107,18.18001138062356,19.568813385008818,0.1683855625338206,0.18257165558280037,0.0,0.0,0.11798884263726128,0.1853297366759767,45621.16735035323,8689534.372272373,23930603.542804835,1239142.1507495223,132569.20319484263,31657479.747617119,0.0,71547243.4402239,14143383.069818309,1087985.366454532,3875955.559902696,46646005.4695396,54909339.85551271,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350724,2802338.947225961 
 03/02  12:00:00,18.18000771722762,18.180017684590383,18.197695832058359,18.407360992868655,18.18001010828622,19.677223111287156,0.11906554554458801,0.14843705042025988,0.0,0.0,0.0961923913135734,0.12476351293578728,43384.42141253599,16144377.800780477,17320129.969728434,79586.33233151013,0.0,23761909.625336846,0.0,75617162.29837199,21607435.86172136,4743221.892289431,4869339.762608002,49074232.291717957,58470501.75752574,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350724,3093378.8595453158 
 03/02  13:00:00,18.180012053653348,18.180056758033716,18.338968784161975,18.76373308790782,18.180019609066755,19.413135817747624,0.12141263383580667,0.1750708282357824,0.0,0.0,0.11349038083838774,0.19385170199184624,40478.38196893986,13892320.980376825,13558098.323416764,0.0,0.0,19188162.088590206,0.0,79024074.9710133,27855711.37108165,7879053.342686569,5712997.9976992509,51106333.312899667,58570520.78781583,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,3299059.198392702 
 03/02  14:00:00,18.18001124181027,18.180039305438549,18.48581290155843,19.02932067694197,18.180025331314419,19.162173684865335,0.19212639233040003,0.21077711627547164,0.0,0.0,0.13711632410680117,0.3059490707767092,38615.46120381124,9988260.25242814,12277067.987208227,0.0,0.0,17635689.585830198,0.0,81057624.50586891,31620506.646261917,9772050.699116916,6254232.099015228,52319353.64986338,57925378.36292754,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,3330108.0108468888 
 03/02  15:00:00,18.180007535189348,18.180004434461723,18.6053057891494,19.210978668179558,18.180012463074239,18.81895979892291,0.2158254376494165,0.24813159290753696,0.0,0.0,0.16091516595725528,0.496969522563709,38483.95773239388,11611653.345504739,11563008.536673857,0.0,0.0,16070696.311307909,0.0,81743729.31486102,32909015.164114864,10418777.08196222,6497344.937143666,52728669.43368826,55882211.004424918,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350724,3512355.145724446 
 03/02  16:00:00,18.180006867866859,18.180009294051467,18.699097952071687,19.328647732873415,18.180006769821558,18.465690681042735,0.2823951798306138,0.1792750111481388,0.0,0.0,0.11614014300432232,0.8275071718504128,39267.72830570999,15375466.3323343,11338564.713307446,0.0,0.0,15080010.779541707,0.0,81744510.20193084,32916300.06883045,10421380.368343519,6571813.689225892,52729279.3884944,53272967.64904934,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,3785245.577965527 
 03/02  17:00:00,18.18002118756599,18.180053817489115,18.760057129444126,19.400110135916298,18.180019302305415,18.189130286143486,0.28492847113909616,0.2828588430856559,0.0,0.0,0.18303269070809334,0.6963846789341905,46103.524057678645,27315248.520634835,15273529.870411925,0.0,0.0,19690906.421001458,4563808.275551703,80315397.91140044,30301933.499109728,9110031.236363447,6359635.891899436,51878055.69368978,50326052.2500642,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,3344659.0226361958 
 03/02  18:00:00,18.180031081271815,18.180047770838998,18.769381543214526,19.408423315488915,18.1800193998332,18.18000631443421,0.23084947095659173,0.21112007442704376,0.0,0.0,0.13736920777172097,0.5542861765641296,45741.68404624706,31044711.57771815,13499801.578699237,0.0,0.0,14262640.873003317,7832456.776106149,78232216.60061908,26509795.095732985,7210332.757885299,5991394.834802318,50635127.41418656,48985939.16110811,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,2245917.263555584 
 03/02  19:00:00,18.18004093411937,18.180047066438328,18.761858910665905,19.344984808609206,18.18002876101026,18.18001107746863,0.1702414564706331,0.08986322602906602,0.0,0.0,0.05930429234518314,0.39182644408861597,54043.73916276632,42364123.376592997,18079372.272106116,0.0,0.0,21219747.86953234,15428970.988055598,76091446.25076956,22613927.835075674,5257491.896260472,5568870.096222428,49358420.50327055,47717192.68904208,9833427.516610189,4561823.570410369,1586868.1485596379,750477.7605017049,6323558.622847754,6130215.8949700989,66598162.98350723,1680711.9822646494 
